Datum deutsch	Nacht	Tag	Nacht	Sunrise	Sunset	Mitternacht	Datum englisch
01.01.2019	08:31:11	07:33:30	07:55:19	08:31:11	16:04:41	00:00:00	2019-01-01
02.01.2019	08:31:01	07:34:48	07:54:11	08:31:01	16:05:49	00:00:00	2019-01-02
03.01.2019	08:30:47	07:36:13	07:53:00	08:30:47	16:07:00	00:00:00	2019-01-03
04.01.2019	08:30:29	07:37:45	07:51:46	08:30:29	16:08:14	00:00:00	2019-01-04
05.01.2019	08:30:08	07:39:22	07:50:30	08:30:08	16:09:30	00:00:00	2019-01-05
06.01.2019	08:29:43	07:41:07	07:49:10	08:29:43	16:10:50	00:00:00	2019-01-06
07.01.2019	08:29:14	07:42:58	07:47:48	08:29:14	16:12:12	00:00:00	2019-01-07
08.01.2019	08:28:42	07:44:54	07:46:24	08:28:42	16:13:36	00:00:00	2019-01-08
09.01.2019	08:28:06	07:46:57	07:44:57	08:28:06	16:15:03	00:00:00	2019-01-09
10.01.2019	08:27:27	07:49:05	07:43:28	08:27:27	16:16:32	00:00:00	2019-01-10
11.01.2019	08:26:45	07:51:19	07:41:56	08:26:45	16:18:04	00:00:00	2019-01-11
12.01.2019	08:25:59	07:53:38	07:40:23	08:25:59	16:19:37	00:00:00	2019-01-12
13.01.2019	08:25:10	07:56:03	07:38:47	08:25:10	16:21:13	00:00:00	2019-01-13
14.01.2019	08:24:18	07:58:33	07:37:09	08:24:18	16:22:51	00:00:00	2019-01-14
15.01.2019	08:23:22	08:01:08	07:35:30	08:23:22	16:24:30	00:00:00	2019-01-15
16.01.2019	08:22:24	08:03:47	07:33:49	08:22:24	16:26:11	00:00:00	2019-01-16
17.01.2019	08:21:22	08:06:32	07:32:06	08:21:22	16:27:54	00:00:00	2019-01-17
18.01.2019	08:20:18	08:09:21	07:30:21	08:20:18	16:29:39	00:00:00	2019-01-18
19.01.2019	08:19:10	08:12:15	07:28:35	08:19:10	16:31:25	00:00:00	2019-01-19
20.01.2019	08:18:00	08:15:12	07:26:48	08:18:00	16:33:12	00:00:00	2019-01-20
21.01.2019	08:16:46	08:18:15	07:24:59	08:16:46	16:35:01	00:00:00	2019-01-21
22.01.2019	08:15:30	08:21:21	07:23:09	08:15:30	16:36:51	00:00:00	2019-01-22
23.01.2019	08:14:12	08:24:30	07:21:18	08:14:12	16:38:42	00:00:00	2019-01-23
24.01.2019	08:12:51	08:27:43	07:19:26	08:12:51	16:40:34	00:00:00	2019-01-24
25.01.2019	08:11:27	08:31:00	07:17:33	08:11:27	16:42:27	00:00:00	2019-01-25
26.01.2019	08:10:00	08:34:21	07:15:39	08:10:00	16:44:21	00:00:00	2019-01-26
27.01.2019	08:08:32	08:37:44	07:13:44	08:08:32	16:46:16	00:00:00	2019-01-27
28.01.2019	08:07:01	08:41:10	07:11:49	08:07:01	16:48:11	00:00:00	2019-01-28
29.01.2019	08:05:27	08:44:41	07:09:52	08:05:27	16:50:08	00:00:00	2019-01-29
30.01.2019	08:03:51	08:48:13	07:07:56	08:03:51	16:52:04	00:00:00	2019-01-30
31.01.2019	08:02:14	08:51:48	07:05:58	08:02:14	16:54:02	00:00:00	2019-01-31
01.02.2019	08:00:34	08:55:26	07:04:00	08:00:34	16:56:00	00:00:00	2019-02-01
02.02.2019	07:58:52	08:59:06	07:02:02	07:58:52	16:57:58	00:00:00	2019-02-02
03.02.2019	07:57:08	09:02:48	07:00:04	07:57:08	16:59:56	00:00:00	2019-02-03
04.02.2019	07:55:22	09:06:33	06:58:05	07:55:22	17:01:55	00:00:00	2019-02-04
05.02.2019	07:53:34	09:10:20	06:56:06	07:53:34	17:03:54	00:00:00	2019-02-05
06.02.2019	07:51:44	09:14:09	06:54:07	07:51:44	17:05:53	00:00:00	2019-02-06
07.02.2019	07:49:53	09:18:00	06:52:07	07:49:53	17:07:53	00:00:00	2019-02-07
08.02.2019	07:48:00	09:21:53	06:50:07	07:48:00	17:09:53	00:00:00	2019-02-08
09.02.2019	07:46:05	09:25:47	06:48:08	07:46:05	17:11:52	00:00:00	2019-02-09
10.02.2019	07:44:08	09:29:44	06:46:08	07:44:08	17:13:52	00:00:00	2019-02-10
11.02.2019	07:42:10	09:33:41	06:44:09	07:42:10	17:15:51	00:00:00	2019-02-11
12.02.2019	07:40:11	09:37:40	06:42:09	07:40:11	17:17:51	00:00:00	2019-02-12
13.02.2019	07:38:10	09:41:41	06:40:09	07:38:10	17:19:51	00:00:00	2019-02-13
14.02.2019	07:36:08	09:45:42	06:38:10	07:36:08	17:21:50	00:00:00	2019-02-14
15.02.2019	07:34:04	09:49:45	06:36:11	07:34:04	17:23:49	00:00:00	2019-02-15
16.02.2019	07:31:59	09:53:49	06:34:12	07:31:59	17:25:48	00:00:00	2019-02-16
17.02.2019	07:29:53	09:57:54	06:32:13	07:29:53	17:27:47	00:00:00	2019-02-17
18.02.2019	07:27:45	10:02:01	06:30:14	07:27:45	17:29:46	00:00:00	2019-02-18
19.02.2019	07:25:37	10:06:08	06:28:15	07:25:37	17:31:45	00:00:00	2019-02-19
20.02.2019	07:23:27	10:10:16	06:26:17	07:23:27	17:33:43	00:00:00	2019-02-20
21.02.2019	07:21:16	10:14:25	06:24:19	07:21:16	17:35:41	00:00:00	2019-02-21
22.02.2019	07:19:04	10:18:35	06:22:21	07:19:04	17:37:39	00:00:00	2019-02-22
23.02.2019	07:16:51	10:22:46	06:20:23	07:16:51	17:39:37	00:00:00	2019-02-23
24.02.2019	07:14:37	10:26:57	06:18:26	07:14:37	17:41:34	00:00:00	2019-02-24
25.02.2019	07:12:23	10:31:08	06:16:29	07:12:23	17:43:31	00:00:00	2019-02-25
26.02.2019	07:10:07	10:35:21	06:14:32	07:10:07	17:45:28	00:00:00	2019-02-26
27.02.2019	07:07:51	10:39:33	06:12:36	07:07:51	17:47:24	00:00:00	2019-02-27
28.02.2019	07:05:33	10:43:48	06:10:39	07:05:33	17:49:21	00:00:00	2019-02-28
01.03.2019	07:03:15	10:48:02	06:08:43	07:03:15	17:51:17	00:00:00	2019-03-01
02.03.2019	07:00:57	10:52:15	06:06:48	07:00:57	17:53:12	00:00:00	2019-03-02
03.03.2019	06:58:37	10:56:30	06:04:53	06:58:37	17:55:07	00:00:00	2019-03-03
04.03.2019	06:56:17	11:00:45	06:02:58	06:56:17	17:57:02	00:00:00	2019-03-04
05.03.2019	06:53:56	11:05:01	06:01:03	06:53:56	17:58:57	00:00:00	2019-03-05
