Datum deutsch	Nacht	Tag	Nacht	Sunrise Sommerzeit	Sunset Sommerzeit	Datum englisch
01.01.2019	09:45:49	07:19:56	06:54:15	09:45:49	17:05:45	2019-01-01
02.01.2019	09:45:36	07:21:20	06:53:04	09:45:36	17:06:56	2019-01-02
03.01.2019	09:45:19	07:22:50	06:51:51	09:45:19	17:08:09	2019-01-03
04.01.2019	09:44:58	07:24:28	06:50:34	09:44:58	17:09:26	2019-01-04
05.01.2019	09:44:34	07:26:12	06:49:14	09:44:34	17:10:46	2019-01-05
06.01.2019	09:44:05	07:28:04	06:47:51	09:44:05	17:12:09	2019-01-06
07.01.2019	09:43:33	07:30:01	06:46:26	09:43:33	17:13:34	2019-01-07
08.01.2019	09:42:58	07:32:04	06:44:58	09:42:58	17:15:02	2019-01-08
09.01.2019	09:42:18	07:34:15	06:43:27	09:42:18	17:16:33	2019-01-09
10.01.2019	09:41:35	07:36:31	06:41:54	09:41:35	17:18:06	2019-01-10
11.01.2019	09:40:49	07:38:53	06:40:18	09:40:49	17:19:42	2019-01-11
12.01.2019	09:39:58	07:41:22	06:38:40	09:39:58	17:21:20	2019-01-12
13.01.2019	09:39:05	07:43:55	06:37:00	09:39:05	17:23:00	2019-01-13
14.01.2019	09:38:08	07:46:34	06:35:18	09:38:08	17:24:42	2019-01-14
15.01.2019	09:37:08	07:49:19	06:33:33	09:37:08	17:26:27	2019-01-15
16.01.2019	09:36:05	07:52:08	06:31:47	09:36:05	17:28:13	2019-01-16
17.01.2019	09:34:58	07:55:02	06:30:00	09:34:58	17:30:00	2019-01-17
18.01.2019	09:33:49	07:58:01	06:28:10	09:33:49	17:31:50	2019-01-18
19.01.2019	09:32:36	08:01:05	06:26:19	09:32:36	17:33:41	2019-01-19
20.01.2019	09:31:20	08:04:14	06:24:26	09:31:20	17:35:34	2019-01-20
21.01.2019	09:30:02	08:07:26	06:22:32	09:30:02	17:37:28	2019-01-21
22.01.2019	09:28:41	08:10:42	06:20:37	09:28:41	17:39:23	2019-01-22
23.01.2019	09:27:17	08:14:02	06:18:41	09:27:17	17:41:19	2019-01-23
24.01.2019	09:25:50	08:17:27	06:16:43	09:25:50	17:43:17	2019-01-24
25.01.2019	09:24:21	08:20:55	06:14:44	09:24:21	17:45:16	2019-01-25
26.01.2019	09:22:49	08:24:26	06:12:45	09:22:49	17:47:15	2019-01-26
27.01.2019	09:21:14	08:28:02	06:10:44	09:21:14	17:49:16	2019-01-27
28.01.2019	09:19:38	08:31:39	06:08:43	09:19:38	17:51:17	2019-01-28
29.01.2019	09:17:58	08:35:21	06:06:41	09:17:58	17:53:19	2019-01-29
30.01.2019	09:16:17	08:39:04	06:04:39	09:16:17	17:55:21	2019-01-30
31.01.2019	09:14:34	08:42:50	06:02:36	09:14:34	17:57:24	2019-01-31
01.02.2019	09:12:48	08:46:40	06:00:32	09:12:48	17:59:28	2019-02-01
02.02.2019	09:11:00	08:50:32	05:58:28	09:11:00	18:01:32	2019-02-02
03.02.2019	09:09:10	08:54:26	05:56:24	09:09:10	18:03:36	2019-02-03
04.02.2019	09:07:18	08:58:23	05:54:19	09:07:18	18:05:41	2019-02-04
05.02.2019	09:05:25	09:02:21	05:52:14	09:05:25	18:07:46	2019-02-05
06.02.2019	09:03:29	09:06:22	05:50:09	09:03:29	18:09:51	2019-02-06
07.02.2019	09:01:32	09:10:24	05:48:04	09:01:32	18:11:56	2019-02-07
08.02.2019	08:59:33	09:14:29	05:45:58	08:59:33	18:14:02	2019-02-08
09.02.2019	08:57:32	09:18:35	05:43:53	08:57:32	18:16:07	2019-02-09
10.02.2019	08:55:30	09:22:43	05:41:47	08:55:30	18:18:13	2019-02-10
