Datum deutsch	Nacht	Tag	Nacht	Sunrise Winterzeit	Sunset Winterzeit	Datum englisch
01.01.2019	08:45:49	07:19:56	07:54:15	08:45:49	16:05:45	2019-01-01
02.01.2019	08:45:36	07:21:20	07:53:04	08:45:36	16:06:56	2019-01-02
03.01.2019	08:45:19	07:22:50	07:51:51	08:45:19	16:08:09	2019-01-03
04.01.2019	08:44:58	07:24:28	07:50:34	08:44:58	16:09:26	2019-01-04
05.01.2019	08:44:34	07:26:12	07:49:14	08:44:34	16:10:46	2019-01-05
06.01.2019	08:44:05	07:28:04	07:47:51	08:44:05	16:12:09	2019-01-06
07.01.2019	08:43:33	07:30:01	07:46:26	08:43:33	16:13:34	2019-01-07
08.01.2019	08:42:58	07:32:04	07:44:58	08:42:58	16:15:02	2019-01-08
09.01.2019	08:42:18	07:34:15	07:43:27	08:42:18	16:16:33	2019-01-09
10.01.2019	08:41:35	07:36:31	07:41:54	08:41:35	16:18:06	2019-01-10
11.01.2019	08:40:49	07:38:53	07:40:18	08:40:49	16:19:42	2019-01-11
12.01.2019	08:39:58	07:41:22	07:38:40	08:39:58	16:21:20	2019-01-12
13.01.2019	08:39:05	07:43:55	07:37:00	08:39:05	16:23:00	2019-01-13
14.01.2019	08:38:08	07:46:34	07:35:18	08:38:08	16:24:42	2019-01-14
15.01.2019	08:37:08	07:49:19	07:33:33	08:37:08	16:26:27	2019-01-15
16.01.2019	08:36:05	07:52:08	07:31:47	08:36:05	16:28:13	2019-01-16
17.01.2019	08:34:58	07:55:02	07:30:00	08:34:58	16:30:00	2019-01-17
18.01.2019	08:33:49	07:58:01	07:28:10	08:33:49	16:31:50	2019-01-18
19.01.2019	08:32:36	08:01:05	07:26:19	08:32:36	16:33:41	2019-01-19
20.01.2019	08:31:20	08:04:14	07:24:26	08:31:20	16:35:34	2019-01-20
21.01.2019	08:30:02	08:07:26	07:22:32	08:30:02	16:37:28	2019-01-21
22.01.2019	08:28:41	08:10:42	07:20:37	08:28:41	16:39:23	2019-01-22
23.01.2019	08:27:17	08:14:02	07:18:41	08:27:17	16:41:19	2019-01-23
24.01.2019	08:25:50	08:17:27	07:16:43	08:25:50	16:43:17	2019-01-24
25.01.2019	08:24:21	08:20:55	07:14:44	08:24:21	16:45:16	2019-01-25
26.01.2019	08:22:49	08:24:26	07:12:45	08:22:49	16:47:15	2019-01-26
27.01.2019	08:21:14	08:28:02	07:10:44	08:21:14	16:49:16	2019-01-27
28.01.2019	08:19:38	08:31:39	07:08:43	08:19:38	16:51:17	2019-01-28
29.01.2019	08:17:58	08:35:21	07:06:41	08:17:58	16:53:19	2019-01-29
30.01.2019	08:16:17	08:39:04	07:04:39	08:16:17	16:55:21	2019-01-30
31.01.2019	08:14:34	08:42:50	07:02:36	08:14:34	16:57:24	2019-01-31
01.02.2019	08:12:48	08:46:40	07:00:32	08:12:48	16:59:28	2019-02-01
02.02.2019	08:11:00	08:50:32	06:58:28	08:11:00	17:01:32	2019-02-02
03.02.2019	08:09:10	08:54:26	06:56:24	08:09:10	17:03:36	2019-02-03
04.02.2019	08:07:18	08:58:23	06:54:19	08:07:18	17:05:41	2019-02-04
05.02.2019	08:05:25	09:02:21	06:52:14	08:05:25	17:07:46	2019-02-05
06.02.2019	08:03:29	09:06:22	06:50:09	08:03:29	17:09:51	2019-02-06
07.02.2019	08:01:32	09:10:24	06:48:04	08:01:32	17:11:56	2019-02-07
08.02.2019	07:59:33	09:14:29	06:45:58	07:59:33	17:14:02	2019-02-08
09.02.2019	07:57:32	09:18:35	06:43:53	07:57:32	17:16:07	2019-02-09
10.02.2019	07:55:30	09:22:43	06:41:47	07:55:30	17:18:13	2019-02-10
11.02.2019	07:53:26	09:26:52	06:39:42	07:53:26	17:20:18	2019-02-11
12.02.2019	07:51:21	09:31:03	06:37:36	07:51:21	17:22:24	2019-02-12
13.02.2019	07:49:14	09:35:15	06:35:31	07:49:14	17:24:29	2019-02-13
14.02.2019	07:47:06	09:39:28	06:33:26	07:47:06	17:26:34	2019-02-14
15.02.2019	07:44:56	09:43:44	06:31:20	07:44:56	17:28:40	2019-02-15
16.02.2019	07:42:45	09:48:00	06:29:15	07:42:45	17:30:45	2019-02-16
17.02.2019	07:40:33	09:52:17	06:27:10	07:40:33	17:32:50	2019-02-17
18.02.2019	07:38:20	09:56:34	06:25:06	07:38:20	17:34:54	2019-02-18
19.02.2019	07:36:06	10:00:53	06:23:01	07:36:06	17:36:59	2019-02-19
20.02.2019	07:33:50	10:05:13	06:20:57	07:33:50	17:39:03	2019-02-20
21.02.2019	07:31:33	10:09:34	06:18:53	07:31:33	17:41:07	2019-02-21
22.02.2019	07:29:16	10:13:54	06:16:50	07:29:16	17:43:10	2019-02-22
23.02.2019	07:26:57	10:18:17	06:14:46	07:26:57	17:45:14	2019-02-23
24.02.2019	07:24:38	10:22:39	06:12:43	07:24:38	17:47:17	2019-02-24
25.02.2019	07:22:17	10:27:03	06:10:40	07:22:17	17:49:20	2019-02-25
26.02.2019	07:19:56	10:31:26	06:08:38	07:19:56	17:51:22	2019-02-26
27.02.2019	07:17:33	10:35:52	06:06:35	07:17:33	17:53:25	2019-02-27
28.02.2019	07:15:10	10:40:17	06:04:33	07:15:10	17:55:27	2019-02-28
01.03.2019	07:12:47	10:44:41	06:02:32	07:12:47	17:57:28	2019-03-01
02.03.2019	07:10:22	10:49:08	06:00:30	07:10:22	17:59:30	2019-03-02
03.03.2019	07:07:57	10:53:34	05:58:29	07:07:57	18:01:31	2019-03-03
04.03.2019	07:05:31	10:58:00	05:56:29	07:05:31	18:03:31	2019-03-04
05.03.2019	07:03:05	11:02:27	05:54:28	07:03:05	18:05:32	2019-03-05
06.03.2019	07:00:38	11:06:54	05:52:28	07:00:38	18:07:32	2019-03-06
07.03.2019	06:58:10	11:11:22	05:50:28	06:58:10	18:09:32	2019-03-07
08.03.2019	06:55:42	11:15:49	05:48:29	06:55:42	18:11:31	2019-03-08
09.03.2019	06:53:14	11:20:17	05:46:29	06:53:14	18:13:31	2019-03-09
10.03.2019	06:50:45	11:24:45	05:44:30	06:50:45	18:15:30	2019-03-10
11.03.2019	06:48:15	11:29:14	05:42:31	06:48:15	18:17:29	2019-03-11
12.03.2019	06:45:46	11:33:41	05:40:33	06:45:46	18:19:27	2019-03-12
13.03.2019	06:43:15	11:38:10	05:38:35	06:43:15	18:21:25	2019-03-13
14.03.2019	06:40:45	11:42:38	05:36:37	06:40:45	18:23:23	2019-03-14
15.03.2019	06:38:14	11:47:07	05:34:39	06:38:14	18:25:21	2019-03-15
16.03.2019	06:35:43	11:51:36	05:32:41	06:35:43	18:27:19	2019-03-16
17.03.2019	06:33:12	11:56:04	05:30:44	06:33:12	18:29:16	2019-03-17
18.03.2019	06:30:40	12:00:34	05:28:46	06:30:40	18:31:14	2019-03-18
19.03.2019	06:28:09	12:05:02	05:26:49	06:28:09	18:33:11	2019-03-19
20.03.2019	06:25:37	12:09:31	05:24:52	06:25:37	18:35:08	2019-03-20
21.03.2019	06:23:05	12:13:59	05:22:56	06:23:05	18:37:04	2019-03-21
22.03.2019	06:20:33	12:18:28	05:20:59	06:20:33	18:39:01	2019-03-22
23.03.2019	06:18:01	12:22:57	05:19:02	06:18:01	18:40:58	2019-03-23
24.03.2019	06:15:29	12:27:25	05:17:06	06:15:29	18:42:54	2019-03-24
25.03.2019	06:12:57	12:31:53	05:15:10	06:12:57	18:44:50	2019-03-25
26.03.2019	06:10:25	12:36:21	05:13:14	06:10:25	18:46:46	2019-03-26
27.03.2019	06:07:53	12:40:50	05:11:17	06:07:53	18:48:43	2019-03-27
28.03.2019	06:05:21	12:45:18	05:09:21	06:05:21	18:50:39	2019-03-28
29.03.2019	06:02:49	12:49:46	05:07:25	06:02:49	18:52:35	2019-03-29
30.03.2019	06:00:18	12:54:12	05:05:30	06:00:18	18:54:30	2019-03-30
31.03.2019	05:57:46	12:58:40	05:03:34	05:57:46	18:56:26	2019-03-31
01.04.2019	05:55:15	13:03:07	05:01:38	05:55:15	18:58:22	2019-04-01
02.04.2019	05:52:44	13:07:34	04:59:42	05:52:44	19:00:18	2019-04-02
03.04.2019	05:50:13	13:12:01	04:57:46	05:50:13	19:02:14	2019-04-03
04.04.2019	05:47:43	13:16:27	04:55:50	05:47:43	19:04:10	2019-04-04
05.04.2019	05:45:13	13:20:52	04:53:55	05:45:13	19:06:05	2019-04-05
06.04.2019	05:42:43	13:25:18	04:51:59	05:42:43	19:08:01	2019-04-06
07.04.2019	05:40:13	13:29:44	04:50:03	05:40:13	19:09:57	2019-04-07
08.04.2019	05:37:44	13:34:09	04:48:07	05:37:44	19:11:53	2019-04-08
09.04.2019	05:35:16	13:38:33	04:46:11	05:35:16	19:13:49	2019-04-09
10.04.2019	05:32:48	13:42:57	04:44:15	05:32:48	19:15:45	2019-04-10
11.04.2019	05:30:20	13:47:21	04:42:19	05:30:20	19:17:41	2019-04-11
12.04.2019	05:27:53	13:51:43	04:40:24	05:27:53	19:19:36	2019-04-12
13.04.2019	05:25:27	13:56:05	04:38:28	05:25:27	19:21:32	2019-04-13
14.04.2019	05:23:01	14:00:27	04:36:32	05:23:01	19:23:28	2019-04-14
15.04.2019	05:20:36	14:04:48	04:34:36	05:20:36	19:25:24	2019-04-15
16.04.2019	05:18:11	14:09:09	04:32:40	05:18:11	19:27:20	2019-04-16
17.04.2019	05:15:47	14:13:29	04:30:44	05:15:47	19:29:16	2019-04-17
18.04.2019	05:13:24	14:17:48	04:28:48	05:13:24	19:31:12	2019-04-18
19.04.2019	05:11:02	14:22:06	04:26:52	05:11:02	19:33:08	2019-04-19
20.04.2019	05:08:40	14:26:24	04:24:56	05:08:40	19:35:04	2019-04-20
21.04.2019	05:06:20	14:30:40	04:23:00	05:06:20	19:37:00	2019-04-21
22.04.2019	05:04:00	14:34:56	04:21:04	05:04:00	19:38:56	2019-04-22
