Datum deutsch	Nacht	Tag	Nacht	Sunrise Winterzeit	Sunset Winterzeit	Datum englisch
01.01.2019	08:31:11	07:33:30	07:55:19	08:31:11	16:04:41	2019-01-01
02.01.2019	08:31:01	07:34:48	07:54:11	08:31:01	16:05:49	2019-01-02
03.01.2019	08:30:47	07:36:13	07:53:00	08:30:47	16:07:00	2019-01-03
04.01.2019	08:30:29	07:37:45	07:51:46	08:30:29	16:08:14	2019-01-04
05.01.2019	08:30:08	07:39:22	07:50:30	08:30:08	16:09:30	2019-01-05
06.01.2019	08:29:43	07:41:07	07:49:10	08:29:43	16:10:50	2019-01-06
07.01.2019	08:29:14	07:42:58	07:47:48	08:29:14	16:12:12	2019-01-07
08.01.2019	08:28:42	07:44:54	07:46:24	08:28:42	16:13:36	2019-01-08
09.01.2019	08:28:06	07:46:57	07:44:57	08:28:06	16:15:03	2019-01-09
10.01.2019	08:27:27	07:49:05	07:43:28	08:27:27	16:16:32	2019-01-10
11.01.2019	08:26:45	07:51:19	07:41:56	08:26:45	16:18:04	2019-01-11
12.01.2019	08:25:59	07:53:38	07:40:23	08:25:59	16:19:37	2019-01-12
13.01.2019	08:25:10	07:56:03	07:38:47	08:25:10	16:21:13	2019-01-13
14.01.2019	08:24:18	07:58:33	07:37:09	08:24:18	16:22:51	2019-01-14
15.01.2019	08:23:22	08:01:08	07:35:30	08:23:22	16:24:30	2019-01-15
16.01.2019	08:22:24	08:03:47	07:33:49	08:22:24	16:26:11	2019-01-16
17.01.2019	08:21:22	08:06:32	07:32:06	08:21:22	16:27:54	2019-01-17
18.01.2019	08:20:18	08:09:21	07:30:21	08:20:18	16:29:39	2019-01-18
19.01.2019	08:19:10	08:12:15	07:28:35	08:19:10	16:31:25	2019-01-19
20.01.2019	08:18:00	08:15:12	07:26:48	08:18:00	16:33:12	2019-01-20
21.01.2019	08:16:46	08:18:15	07:24:59	08:16:46	16:35:01	2019-01-21
22.01.2019	08:15:30	08:21:21	07:23:09	08:15:30	16:36:51	2019-01-22
23.01.2019	08:14:12	08:24:30	07:21:18	08:14:12	16:38:42	2019-01-23
24.01.2019	08:12:51	08:27:43	07:19:26	08:12:51	16:40:34	2019-01-24
25.01.2019	08:11:27	08:31:00	07:17:33	08:11:27	16:42:27	2019-01-25
26.01.2019	08:10:00	08:34:21	07:15:39	08:10:00	16:44:21	2019-01-26
27.01.2019	08:08:32	08:37:44	07:13:44	08:08:32	16:46:16	2019-01-27
28.01.2019	08:07:01	08:41:10	07:11:49	08:07:01	16:48:11	2019-01-28
29.01.2019	08:05:27	08:44:41	07:09:52	08:05:27	16:50:08	2019-01-29
30.01.2019	08:03:51	08:48:13	07:07:56	08:03:51	16:52:04	2019-01-30
31.01.2019	08:02:14	08:51:48	07:05:58	08:02:14	16:54:02	2019-01-31
01.02.2019	08:00:34	08:55:26	07:04:00	08:00:34	16:56:00	2019-02-01
02.02.2019	07:58:52	08:59:06	07:02:02	07:58:52	16:57:58	2019-02-02
03.02.2019	07:57:08	09:02:48	07:00:04	07:57:08	16:59:56	2019-02-03
04.02.2019	07:55:22	09:06:33	06:58:05	07:55:22	17:01:55	2019-02-04
05.02.2019	07:53:34	09:10:20	06:56:06	07:53:34	17:03:54	2019-02-05
06.02.2019	07:51:44	09:14:09	06:54:07	07:51:44	17:05:53	2019-02-06
07.02.2019	07:49:53	09:18:00	06:52:07	07:49:53	17:07:53	2019-02-07
08.02.2019	07:48:00	09:21:53	06:50:07	07:48:00	17:09:53	2019-02-08
09.02.2019	07:46:05	09:25:47	06:48:08	07:46:05	17:11:52	2019-02-09
10.02.2019	07:44:08	09:29:44	06:46:08	07:44:08	17:13:52	2019-02-10
11.02.2019	07:42:10	09:33:41	06:44:09	07:42:10	17:15:51	2019-02-11
12.02.2019	07:40:11	09:37:40	06:42:09	07:40:11	17:17:51	2019-02-12
13.02.2019	07:38:10	09:41:41	06:40:09	07:38:10	17:19:51	2019-02-13
14.02.2019	07:36:08	09:45:42	06:38:10	07:36:08	17:21:50	2019-02-14
15.02.2019	07:34:04	09:49:45	06:36:11	07:34:04	17:23:49	2019-02-15
16.02.2019	07:31:59	09:53:49	06:34:12	07:31:59	17:25:48	2019-02-16
17.02.2019	07:29:53	09:57:54	06:32:13	07:29:53	17:27:47	2019-02-17
18.02.2019	07:27:45	10:02:01	06:30:14	07:27:45	17:29:46	2019-02-18
19.02.2019	07:25:37	10:06:08	06:28:15	07:25:37	17:31:45	2019-02-19
20.02.2019	07:23:27	10:10:16	06:26:17	07:23:27	17:33:43	2019-02-20
21.02.2019	07:21:16	10:14:25	06:24:19	07:21:16	17:35:41	2019-02-21
22.02.2019	07:19:04	10:18:35	06:22:21	07:19:04	17:37:39	2019-02-22
23.02.2019	07:16:51	10:22:46	06:20:23	07:16:51	17:39:37	2019-02-23
24.02.2019	07:14:37	10:26:57	06:18:26	07:14:37	17:41:34	2019-02-24
25.02.2019	07:12:23	10:31:08	06:16:29	07:12:23	17:43:31	2019-02-25
26.02.2019	07:10:07	10:35:21	06:14:32	07:10:07	17:45:28	2019-02-26
27.02.2019	07:07:51	10:39:33	06:12:36	07:07:51	17:47:24	2019-02-27
28.02.2019	07:05:33	10:43:48	06:10:39	07:05:33	17:49:21	2019-02-28
01.03.2019	07:03:15	10:48:02	06:08:43	07:03:15	17:51:17	2019-03-01
02.03.2019	07:00:57	10:52:15	06:06:48	07:00:57	17:53:12	2019-03-02
03.03.2019	06:58:37	10:56:30	06:04:53	06:58:37	17:55:07	2019-03-03
04.03.2019	06:56:17	11:00:45	06:02:58	06:56:17	17:57:02	2019-03-04
05.03.2019	06:53:56	11:05:01	06:01:03	06:53:56	17:58:57	2019-03-05
06.03.2019	06:51:35	11:09:17	05:59:08	06:51:35	18:00:52	2019-03-06
07.03.2019	06:49:13	11:13:33	05:57:14	06:49:13	18:02:46	2019-03-07
08.03.2019	06:46:51	11:17:49	05:55:20	06:46:51	18:04:40	2019-03-08
09.03.2019	06:44:28	11:22:05	05:53:27	06:44:28	18:06:33	2019-03-09
10.03.2019	06:42:05	11:26:22	05:51:33	06:42:05	18:08:27	2019-03-10
11.03.2019	06:39:41	11:30:39	05:49:40	06:39:41	18:10:20	2019-03-11
12.03.2019	06:37:17	11:34:56	05:47:47	06:37:17	18:12:13	2019-03-12
13.03.2019	06:34:52	11:39:13	05:45:55	06:34:52	18:14:05	2019-03-13
14.03.2019	06:32:27	11:43:31	05:44:02	06:32:27	18:15:58	2019-03-14
15.03.2019	06:30:02	11:47:48	05:42:10	06:30:02	18:17:50	2019-03-15
16.03.2019	06:27:37	11:52:05	05:40:18	06:27:37	18:19:42	2019-03-16
17.03.2019	06:25:11	11:56:23	05:38:26	06:25:11	18:21:34	2019-03-17
18.03.2019	06:22:45	12:00:40	05:36:35	06:22:45	18:23:25	2019-03-18
19.03.2019	06:20:19	12:04:58	05:34:43	06:20:19	18:25:17	2019-03-19
20.03.2019	06:17:53	12:09:15	05:32:52	06:17:53	18:27:08	2019-03-20
21.03.2019	06:15:27	12:13:32	05:31:01	06:15:27	18:28:59	2019-03-21
22.03.2019	06:13:01	12:17:49	05:29:10	06:13:01	18:30:50	2019-03-22
23.03.2019	06:10:34	12:22:07	05:27:19	06:10:34	18:32:41	2019-03-23
24.03.2019	06:08:08	12:26:24	05:25:28	06:08:08	18:34:32	2019-03-24
25.03.2019	06:05:41	12:30:41	05:23:38	06:05:41	18:36:22	2019-03-25
26.03.2019	06:03:15	12:34:58	05:21:47	06:03:15	18:38:13	2019-03-26
27.03.2019	06:00:49	12:39:14	05:19:57	06:00:49	18:40:03	2019-03-27
28.03.2019	05:58:22	12:43:31	05:18:07	05:58:22	18:41:53	2019-03-28
29.03.2019	05:55:56	12:47:48	05:16:16	05:55:56	18:43:44	2019-03-29
30.03.2019	05:53:30	12:52:04	05:14:26	05:53:30	18:45:34	2019-03-30
31.03.2019	05:51:04	12:56:20	05:12:36	05:51:04	18:47:24	2019-03-31
01.04.2019	05:48:39	13:00:35	05:10:46	05:48:39	18:49:14	2019-04-01
02.04.2019	05:46:13	13:04:51	05:08:56	05:46:13	18:51:04	2019-04-02
03.04.2019	05:43:48	13:09:07	05:07:05	05:43:48	18:52:55	2019-04-03
04.04.2019	05:41:24	13:13:21	05:05:15	05:41:24	18:54:45	2019-04-04
05.04.2019	05:38:59	13:17:36	05:03:25	05:38:59	18:56:35	2019-04-05
06.04.2019	05:36:35	13:21:50	05:01:35	05:36:35	18:58:25	2019-04-06
07.04.2019	05:34:11	13:26:04	04:59:45	05:34:11	19:00:15	2019-04-07
08.04.2019	05:31:48	13:30:17	04:57:55	05:31:48	19:02:05	2019-04-08
09.04.2019	05:29:25	13:34:30	04:56:05	05:29:25	19:03:55	2019-04-09
10.04.2019	05:27:03	13:38:42	04:54:15	05:27:03	19:05:45	2019-04-10
11.04.2019	05:24:41	13:42:54	04:52:25	05:24:41	19:07:35	2019-04-11
12.04.2019	05:22:20	13:47:05	04:50:35	05:22:20	19:09:25	2019-04-12
13.04.2019	05:19:59	13:51:16	04:48:45	05:19:59	19:11:15	2019-04-13
14.04.2019	05:17:39	13:55:26	04:46:55	05:17:39	19:13:05	2019-04-14
15.04.2019	05:15:20	13:59:35	04:45:05	05:15:20	19:14:55	2019-04-15
16.04.2019	05:13:01	14:03:44	04:43:15	05:13:01	19:16:45	2019-04-16
17.04.2019	05:10:43	14:07:53	04:41:24	05:10:43	19:18:36	2019-04-17
18.04.2019	05:08:26	14:12:00	04:39:34	05:08:26	19:20:26	2019-04-18
19.04.2019	05:06:10	14:16:06	04:37:44	05:06:10	19:22:16	2019-04-19
20.04.2019	05:03:54	14:20:12	04:35:54	05:03:54	19:24:06	2019-04-20
21.04.2019	05:01:39	14:24:17	04:34:04	05:01:39	19:25:56	2019-04-21
22.04.2019	04:59:26	14:28:19	04:32:15	04:59:26	19:27:45	2019-04-22
23.04.2019	04:57:13	14:32:22	04:30:25	04:57:13	19:29:35	2019-04-23
24.04.2019	04:55:01	14:36:24	04:28:35	04:55:01	19:31:25	2019-04-24
25.04.2019	04:52:50	14:40:24	04:26:46	04:52:50	19:33:14	2019-04-25
26.04.2019	04:50:41	14:44:23	04:24:56	04:50:41	19:35:04	2019-04-26
27.04.2019	04:48:32	14:48:21	04:23:07	04:48:32	19:36:53	2019-04-27
28.04.2019	04:46:25	14:52:17	04:21:18	04:46:25	19:38:42	2019-04-28
29.04.2019	04:44:19	14:56:12	04:19:29	04:44:19	19:40:31	2019-04-29
30.04.2019	04:42:14	15:00:06	04:17:40	04:42:14	19:42:20	2019-04-30
01.05.2019	04:40:10	15:03:58	04:15:52	04:40:10	19:44:08	2019-05-01
02.05.2019	04:38:08	15:07:48	04:14:04	04:38:08	19:45:56	2019-05-02
03.05.2019	04:36:07	15:11:37	04:12:16	04:36:07	19:47:44	2019-05-03
04.05.2019	04:34:08	15:15:23	04:10:29	04:34:08	19:49:31	2019-05-04
05.05.2019	04:32:10	15:19:08	04:08:42	04:32:10	19:51:18	2019-05-05
06.05.2019	04:30:13	15:22:51	04:06:56	04:30:13	19:53:04	2019-05-06
07.05.2019	04:28:18	15:26:32	04:05:10	04:28:18	19:54:50	2019-05-07
08.05.2019	04:26:25	15:30:11	04:03:24	04:26:25	19:56:36	2019-05-08
09.05.2019	04:24:34	15:33:46	04:01:40	04:24:34	19:58:20	2019-05-09
10.05.2019	04:22:44	15:37:20	03:59:56	04:22:44	20:00:04	2019-05-10
11.05.2019	04:20:56	15:40:52	03:58:12	04:20:56	20:01:48	2019-05-11
12.05.2019	04:19:10	15:44:20	03:56:30	04:19:10	20:03:30	2019-05-12
13.05.2019	04:17:26	15:47:46	03:54:48	04:17:26	20:05:12	2019-05-13
14.05.2019	04:15:44	15:51:09	03:53:07	04:15:44	20:06:53	2019-05-14
15.05.2019	04:14:04	15:54:29	03:51:27	04:14:04	20:08:33	2019-05-15
16.05.2019	04:12:26	15:57:46	03:49:48	04:12:26	20:10:12	2019-05-16
17.05.2019	04:10:50	16:01:00	03:48:10	04:10:50	20:11:50	2019-05-17
18.05.2019	04:09:16	16:04:11	03:46:33	04:09:16	20:13:27	2019-05-18
19.05.2019	04:07:45	16:07:18	03:44:57	04:07:45	20:15:03	2019-05-19
20.05.2019	04:06:16	16:10:21	03:43:23	04:06:16	20:16:37	2019-05-20
21.05.2019	04:04:49	16:13:21	03:41:50	04:04:49	20:18:10	2019-05-21
22.05.2019	04:03:25	16:16:17	03:40:18	04:03:25	20:19:42	2019-05-22
23.05.2019	04:02:03	16:19:09	03:38:48	04:02:03	20:21:12	2019-05-23
24.05.2019	04:00:43	16:21:57	03:37:20	04:00:43	20:22:40	2019-05-24
25.05.2019	03:59:27	16:24:40	03:35:53	03:59:27	20:24:07	2019-05-25
26.05.2019	03:58:13	16:27:19	03:34:28	03:58:13	20:25:32	2019-05-26
27.05.2019	03:57:01	16:29:54	03:33:05	03:57:01	20:26:55	2019-05-27
28.05.2019	03:55:53	16:32:24	03:31:43	03:55:53	20:28:17	2019-05-28
29.05.2019	03:54:47	16:34:49	03:30:24	03:54:47	20:29:36	2019-05-29
30.05.2019	03:53:44	16:37:10	03:29:06	03:53:44	20:30:54	2019-05-30
31.05.2019	03:52:44	16:39:25	03:27:51	03:52:44	20:32:09	2019-05-31
01.06.2019	03:51:47	16:41:35	03:26:38	03:51:47	20:33:22	2019-06-01
02.06.2019	03:50:54	16:43:39	03:25:27	03:50:54	20:34:33	2019-06-02
03.06.2019	03:50:03	16:45:38	03:24:19	03:50:03	20:35:41	2019-06-03
04.06.2019	03:49:15	16:47:32	03:23:13	03:49:15	20:36:47	2019-06-04
05.06.2019	03:48:31	16:49:19	03:22:10	03:48:31	20:37:50	2019-06-05
06.06.2019	03:47:49	16:51:02	03:21:09	03:47:49	20:38:51	2019-06-06
07.06.2019	03:47:11	16:52:38	03:20:11	03:47:11	20:39:49	2019-06-07
08.06.2019	03:46:37	16:54:07	03:19:16	03:46:37	20:40:44	2019-06-08
09.06.2019	03:46:05	16:55:32	03:18:23	03:46:05	20:41:37	2019-06-09
10.06.2019	03:45:37	16:56:49	03:17:34	03:45:37	20:42:26	2019-06-10
11.06.2019	03:45:12	16:58:01	03:16:47	03:45:12	20:43:13	2019-06-11
12.06.2019	03:44:51	16:59:06	03:16:03	03:44:51	20:43:57	2019-06-12
13.06.2019	03:44:33	17:00:04	03:15:23	03:44:33	20:44:37	2019-06-13
14.06.2019	03:44:19	17:00:56	03:14:45	03:44:19	20:45:15	2019-06-14
15.06.2019	03:44:08	17:01:41	03:14:11	03:44:08	20:45:49	2019-06-15
16.06.2019	03:44:00	17:02:20	03:13:40	03:44:00	20:46:20	2019-06-16
17.06.2019	03:43:56	17:02:51	03:13:13	03:43:56	20:46:47	2019-06-17
18.06.2019	03:43:55	17:03:17	03:12:48	03:43:55	20:47:12	2019-06-18
19.06.2019	03:43:58	17:03:35	03:12:27	03:43:58	20:47:33	2019-06-19
20.06.2019	03:44:04	17:03:46	03:12:10	03:44:04	20:47:50	2019-06-20
21.06.2019	03:44:14	17:03:51	03:11:55	03:44:14	20:48:05	2019-06-21
22.06.2019	03:44:27	17:03:48	03:11:45	03:44:27	20:48:15	2019-06-22
23.06.2019	03:44:43	17:03:40	03:11:37	03:44:43	20:48:23	2019-06-23
24.06.2019	03:45:02	17:03:24	03:11:34	03:45:02	20:48:26	2019-06-24
25.06.2019	03:45:25	17:03:02	03:11:33	03:45:25	20:48:27	2019-06-25
26.06.2019	03:45:52	17:02:32	03:11:36	03:45:52	20:48:24	2019-06-26
27.06.2019	03:46:21	17:01:56	03:11:43	03:46:21	20:48:17	2019-06-27
28.06.2019	03:46:54	17:01:13	03:11:53	03:46:54	20:48:07	2019-06-28
29.06.2019	03:47:29	17:00:24	03:12:07	03:47:29	20:47:53	2019-06-29
30.06.2019	03:48:08	16:59:28	03:12:24	03:48:08	20:47:36	2019-06-30
01.07.2019	03:48:50	16:58:25	03:12:45	03:48:50	20:47:15	2019-07-01
02.07.2019	03:49:35	16:57:16	03:13:09	03:49:35	20:46:51	2019-07-02
03.07.2019	03:50:22	16:56:02	03:13:36	03:50:22	20:46:24	2019-07-03
04.07.2019	03:51:13	16:54:40	03:14:07	03:51:13	20:45:53	2019-07-04
05.07.2019	03:52:06	16:53:13	03:14:41	03:52:06	20:45:19	2019-07-05
06.07.2019	03:53:02	16:51:40	03:15:18	03:53:02	20:44:42	2019-07-06
07.07.2019	03:54:01	16:50:00	03:15:59	03:54:01	20:44:01	2019-07-07
08.07.2019	03:55:02	16:48:15	03:16:43	03:55:02	20:43:17	2019-07-08
09.07.2019	03:56:05	16:46:25	03:17:30	03:56:05	20:42:30	2019-07-09
10.07.2019	03:57:11	16:44:28	03:18:21	03:57:11	20:41:39	2019-07-10
